 time            v(out)          time            v(outpl)        time            v(outdrl)       time            v(outdrlpl)    
 9.74369527e-02  7.09876464e-01  9.74369527e-02  6.80067550e-01  9.74369527e-02  7.62833659e-01  9.74369527e-02  7.66168745e-01 
 9.84369527e-02  7.07618306e-01  9.84369527e-02  6.77718489e-01  9.84369527e-02  7.41002237e-01  9.84369527e-02  7.44191386e-01 
 9.94369527e-02  7.05539623e-01  9.94369527e-02  6.75516092e-01  9.94369527e-02  7.15155105e-01  9.94369527e-02  7.18140433e-01 
 1.00436953e-01  7.03534596e-01  1.00436953e-01  6.73373051e-01  1.00436953e-01  6.87863955e-01  1.00436953e-01  6.90618228e-01 
 1.01436953e-01  7.01487638e-01  1.01436953e-01  6.71194227e-01  1.01436953e-01  6.61816070e-01  1.01436953e-01  6.64354261e-01 
 1.02436953e-01  6.99271564e-01  1.02436953e-01  6.68875282e-01  1.02436953e-01  6.39525939e-01  1.02436953e-01  6.41888329e-01 
 1.03436953e-01  6.96782549e-01  1.03436953e-01  6.66330557e-01  1.03436953e-01  6.23133749e-01  1.03436953e-01  6.25372773e-01 
 1.04436953e-01  6.93946587e-01  1.04436953e-01  6.63499037e-01  1.04436953e-01  6.14200389e-01  1.04436953e-01  6.16372895e-01 
 1.05436953e-01  6.90740364e-01  1.05436953e-01  6.60362839e-01  1.05436953e-01  6.13577851e-01  1.05436953e-01  6.15742857e-01 
 1.06436953e-01  6.87187981e-01  1.06436953e-01  6.56945226e-01  1.06436953e-01  6.21322780e-01  1.06436953e-01  6.23538993e-01 
 1.07436953e-01  6.83366426e-01  1.07436953e-01  6.53315311e-01  1.07436953e-01  6.36700241e-01  1.07436953e-01  6.39025403e-01 
 1.08436953e-01  6.79389032e-01  1.08436953e-01  6.49572442e-01  1.08436953e-01  6.58246213e-01  1.08436953e-01  6.60734755e-01 
 1.09436953e-01  6.75392377e-01  1.09436953e-01  6.45833954e-01  1.09436953e-01  6.83894314e-01  1.09436953e-01  6.86590352e-01 
 1.10436953e-01  6.71515675e-01  1.10436953e-01  6.42217305e-01  1.10436953e-01  7.11170189e-01  1.10436953e-01  7.14095454e-01 
