 time            v(out)          time            v(outpl)       
 1.06500000e-01  9.10324889e-01  1.06500000e-01  8.78262813e-01 
 1.07500000e-01  9.09619679e-01  1.07500000e-01  8.77472532e-01 
 1.08500000e-01  9.08599350e-01  1.08500000e-01  8.76339204e-01 
 1.09500000e-01  9.07375810e-01  1.09500000e-01  8.74988986e-01 
 1.10500000e-01  9.06079771e-01  1.10500000e-01  8.73566462e-01 
 1.11500000e-01  9.04849000e-01  1.11500000e-01  8.72221310e-01 
 1.12500000e-01  9.03816444e-01  1.12500000e-01  8.71095700e-01 
 1.13500000e-01  9.03098483e-01  1.13500000e-01  8.70312562e-01 
 1.14500000e-01  9.02782659e-01  1.14500000e-01  8.69963377e-01 
 1.15500000e-01  9.02916086e-01  1.15500000e-01  8.70097227e-01 
 1.16500000e-01  9.03498243e-01  1.16500000e-01  8.70713648e-01 
 1.17500000e-01  9.04481282e-01  1.17500000e-01  8.71762934e-01 
 1.18500000e-01  9.05777347e-01  1.18500000e-01  8.73153100e-01 
 1.19500000e-01  9.07269635e-01  1.19500000e-01  8.74761134e-01 
 1.20000000e-01  9.08048100e-01  1.20000000e-01  8.75602697e-01 
 1.20100000e-01  9.08199873e-01  1.20100000e-01  8.75767317e-01 
 1.20300000e-01  9.08502474e-01  1.20300000e-01  8.76095751e-01 
 1.20700000e-01  9.09100910e-01  1.20700000e-01  8.76746231e-01 
 1.21500000e-01  9.10240999e-01  1.21500000e-01  8.77988455e-01 
 1.22500000e-01  9.11476007e-01  1.22500000e-01  8.79338112e-01 
 1.23500000e-01  9.12397680e-01  1.23500000e-01  8.80346633e-01 
 1.24500000e-01  9.12925329e-01  1.24500000e-01  8.80921368e-01 
 1.25500000e-01  9.13015957e-01  1.25500000e-01  8.81012798e-01 
 1.26500000e-01  9.12670099e-01  1.26500000e-01  8.80621224e-01 
 1.27500000e-01  9.11930886e-01  1.27500000e-01  8.79796664e-01 
 1.28500000e-01  9.10879352e-01  1.28500000e-01  8.78631892e-01 
 1.29500000e-01  9.09625749e-01  1.29500000e-01  8.77251348e-01 
 1.30500000e-01  9.08299182e-01  1.30500000e-01  8.75798030e-01 
 1.31500000e-01  9.07036089e-01  1.31500000e-01  8.74420301e-01 
 1.32500000e-01  9.05968514e-01  1.32500000e-01  8.73259406e-01 
 1.33500000e-01  9.05212314e-01  1.33500000e-01  8.72437669e-01 
 1.34500000e-01  9.04854515e-01  1.34500000e-01  8.72046309e-01 
 1.35500000e-01  9.04942453e-01  1.35500000e-01  8.72134387e-01 
 1.36500000e-01  9.05475650e-01  1.36500000e-01  8.72701682e-01 
 1.37500000e-01  9.06406833e-01  1.37500000e-01  8.73698911e-01 
 1.38500000e-01  9.07648691e-01  1.38500000e-01  8.75034741e-01 
 1.39500000e-01  9.09085378e-01  1.39500000e-01  8.76586957e-01 
 1.40500000e-01  9.10585054e-01  1.40500000e-01  8.78214395e-01 
 1.41500000e-01  9.12011495e-01  1.41500000e-01  8.79769066e-01 
 1.42500000e-01  9.13236473e-01  1.42500000e-01  8.81108626e-01 
 1.43500000e-01  9.14150598e-01  1.43500000e-01  8.82109594e-01 
 1.44500000e-01  9.14674119e-01  1.44500000e-01  8.82680247e-01 
 1.45500000e-01  9.14764673e-01  1.45500000e-01  8.82771632e-01 
 1.46500000e-01  9.14422799e-01  1.46500000e-01  8.82384060e-01 
 1.47500000e-01  9.13691028e-01  1.47500000e-01  8.81566980e-01 
 1.48500000e-01  9.12649521e-01  1.48500000e-01  8.80412180e-01 
 1.49500000e-01  9.11407209e-01  1.49500000e-01  8.79042889e-01 
 1.50000000e-01  9.10750282e-01  1.50000000e-01  8.78321698e-01 
 1.50100000e-01  9.10600594e-01  1.50100000e-01  8.78159219e-01 
 1.50300000e-01  9.10300933e-01  1.50300000e-01  8.77834240e-01 
 1.50700000e-01  9.09706747e-01  1.50700000e-01  8.77190664e-01 
 1.51500000e-01  9.08569080e-01  1.51500000e-01  8.75961751e-01 
 1.52500000e-01  9.07327480e-01  1.52500000e-01  8.74625951e-01 
 1.53500000e-01  9.06394093e-01  1.53500000e-01  8.73625952e-01 
 1.54500000e-01  9.05856268e-01  1.54500000e-01  8.73053536e-01 
 1.55500000e-01  9.05762070e-01  1.55500000e-01  8.72958543e-01 
 1.56500000e-01  9.06112127e-01  1.56500000e-01  8.73341678e-01 
 1.57500000e-01  9.06860078e-01  1.57500000e-01  8.74154635e-01 
 1.58500000e-01  9.07919403e-01  1.58500000e-01  8.75307012e-01 
 1.59500000e-01  9.09175299e-01  1.59500000e-01  8.76677373e-01 
 1.60500000e-01  9.10496205e-01  1.60500000e-01  8.78125072e-01 
 1.61500000e-01  9.11746207e-01  1.61500000e-01  8.79502266e-01 
 1.62500000e-01  9.12796696e-01  1.62500000e-01  8.80666290e-01 
 1.63500000e-01  9.13537385e-01  1.63500000e-01  8.81492857e-01 
 1.64500000e-01  9.13887459e-01  1.64500000e-01  8.81889056e-01 
 1.65500000e-01  9.13803211e-01  1.65500000e-01  8.81804576e-01 
 1.66500000e-01  9.13283835e-01  1.66500000e-01  8.81238519e-01 
