 frequency       gain_db        
 6.30957344e+03  3.21286456e+01 
 7.94328235e+03  3.21212369e+01 
 1.00000000e+04  3.21095208e+01 
 1.25892541e+04  3.20910164e+01 
 1.58489319e+04  3.20618495e+01 
 1.99526231e+04  3.20160207e+01 
 2.51188643e+04  3.19443636e+01 
 3.16227766e+04  3.18331626e+01 
 3.98107171e+04  3.16625544e+01 
 5.01187234e+04  3.14051820e+01 
 6.30957344e+04  3.10261612e+01 
 7.94328235e+04  3.04859646e+01 
 1.00000000e+05  2.97474485e+01 
 1.25892541e+05  2.87858980e+01 
 1.58489319e+05  2.75974717e+01 
 1.99526231e+05  2.62006532e+01 
 2.51188643e+05  2.46296799e+01 
 3.16227766e+05  2.29243987e+01 
 3.98107171e+05  2.11219551e+01 
 5.01187234e+05  1.92526294e+01 
 6.30957344e+05  1.73391493e+01 
 7.94328235e+05  1.53978473e+01 
 1.00000000e+06  1.34404090e+01 
 1.25892541e+06  1.14755966e+01 
 1.58489319e+06  9.51077972e+00 
 1.99526231e+06  7.55332698e+00 
 2.51188643e+06  5.61199520e+00 
 3.16227766e+06  3.69844132e+00 
 3.98107171e+06  1.82887769e+00 
 5.01187234e+06  2.56137659e-02 
 6.30957344e+06 -1.68228156e+00 
 7.94328235e+06 -3.26051781e+00 
 1.00000000e+07 -4.67433750e+00 
 1.25892541e+07 -5.89438608e+00 
 1.58489319e+07 -6.89271005e+00 
 1.99526231e+07 -7.59818611e+00 
 2.51188643e+07 -7.75546682e+00 
 3.16227766e+07 -6.80002191e+00 
 3.98107171e+07 -4.55786339e+00 
 5.01187234e+07 -2.12475507e+00 
 6.30957344e+07 -4.09490330e-01 
 7.94328235e+07  8.21826228e-01 
 1.00000000e+08  2.03438954e+00 
 1.25892541e+08  3.35767412e+00 
 1.58489319e+08  4.69898726e+00 
 1.99526231e+08  5.95266352e+00 
 2.51188643e+08  7.05820316e+00 
 3.16227766e+08  7.98400720e+00 
 3.98107171e+08  8.71144167e+00 
 5.01187234e+08  9.22990857e+00 
 6.30957344e+08  9.53548329e+00 
 7.94328235e+08  9.62806757e+00 
 1.00000000e+09  9.50728011e+00 
 frequency       gain_db        
 1.00000000e+00  5.56949858e+01 
 1.25892541e+00  5.56949857e+01 
 1.58489319e+00  5.56949856e+01 
 1.99526231e+00  5.56949855e+01 
 2.51188643e+00  5.56949852e+01 
 3.16227766e+00  5.56949849e+01 
 3.98107171e+00  5.56949843e+01 
 5.01187234e+00  5.56949833e+01 
 6.30957344e+00  5.56949818e+01 
 7.94328235e+00  5.56949795e+01 
 1.00000000e+01  5.56949757e+01 
 1.25892541e+01  5.56949698e+01 
 1.58489319e+01  5.56949604e+01 
 1.99526231e+01  5.56949454e+01 
 2.51188643e+01  5.56949217e+01 
 3.16227766e+01  5.56948842e+01 
 3.98107171e+01  5.56948248e+01 
 5.01187234e+01  5.56947305e+01 
 6.30957344e+01  5.56945812e+01 
 7.94328235e+01  5.56943445e+01 
 1.00000000e+02  5.56939693e+01 
 1.25892541e+02  5.56933749e+01 
 1.58489319e+02  5.56924329e+01 
 1.99526231e+02  5.56909403e+01 
 2.51188643e+02  5.56885759e+01 
 3.16227766e+02  5.56848311e+01 
 3.98107171e+02  5.56789026e+01 
 5.01187234e+02  5.56695230e+01 
 6.30957344e+02  5.56546989e+01 
 7.94328235e+02  5.56313074e+01 
 1.00000000e+03  5.55944905e+01 
 1.25892541e+03  5.55367715e+01 
 1.58489319e+03  5.54468360e+01 
 1.99526231e+03  5.53080064e+01 
 2.51188643e+03  5.50966818e+01 
 3.16227766e+03  5.47814922e+01 
 3.98107171e+03  5.43245509e+01 
