 time            v(out)          time            v(outpl)       
 1.20280000e-03  9.24930938e-01  1.20280000e-03  9.40324323e-01 
 1.21280000e-03  9.25098385e-01  1.21280000e-03  9.40473483e-01 
 1.22280000e-03  9.25265408e-01  1.22280000e-03  9.40622270e-01 
 1.23280000e-03  9.25431983e-01  1.23280000e-03  9.40770683e-01 
 1.24280000e-03  9.25598109e-01  1.24280000e-03  9.40918722e-01 
 1.25280000e-03  9.25763781e-01  1.25280000e-03  9.41066387e-01 
 1.26280000e-03  9.25929046e-01  1.26280000e-03  9.41213677e-01 
 1.27280000e-03  9.26093876e-01  1.27280000e-03  9.41360592e-01 
 1.28280000e-03  9.26258231e-01  1.28280000e-03  9.41507132e-01 
 1.29280000e-03  9.26422151e-01  1.29280000e-03  9.41653296e-01 
 1.30280000e-03  9.26585664e-01  1.30280000e-03  9.41799084e-01 
 1.31280000e-03  9.26748751e-01  1.31280000e-03  9.41944495e-01 
 1.32280000e-03  9.26911387e-01  1.32280000e-03  9.42089530e-01 
 1.33280000e-03  9.27073563e-01  1.33280000e-03  9.42234188e-01 
 1.34280000e-03  9.27235278e-01  1.34280000e-03  9.42378469e-01 
 1.35280000e-03  9.27396554e-01  1.35280000e-03  9.42522372e-01 
 1.36280000e-03  9.27557395e-01  1.36280000e-03  9.42665897e-01 
 1.37280000e-03  9.27717820e-01  1.37280000e-03  9.42809045e-01 
 1.38280000e-03  9.27877817e-01  1.38280000e-03  9.42951813e-01 
 1.39280000e-03  9.28037356e-01  1.39280000e-03  9.43094204e-01 
 1.40280000e-03  9.28196443e-01  1.40280000e-03  9.43236215e-01 
 1.41280000e-03  9.28355100e-01  1.41280000e-03  9.43377847e-01 
 1.42280000e-03  9.28513317e-01  1.42280000e-03  9.43519100e-01 
 1.43280000e-03  9.28671098e-01  1.43280000e-03  9.43659973e-01 
 1.44280000e-03  9.28828442e-01  1.44280000e-03  9.43800465e-01 
 1.45280000e-03  9.28985333e-01  1.45280000e-03  9.43940578e-01 
 1.46280000e-03  9.29141788e-01  1.46280000e-03  9.44080310e-01 
 1.47280000e-03  9.29297796e-01  1.47280000e-03  9.44219661e-01 
 1.48280000e-03  9.29453342e-01  1.48280000e-03  9.44358631e-01 
 1.49280000e-03  9.29608421e-01  1.49280000e-03  9.44497220e-01 
 1.50280000e-03  9.29763072e-01  1.50280000e-03  9.44635428e-01 
 1.51280000e-03  9.29917324e-01  1.51280000e-03  9.44773254e-01 
 1.52280000e-03  9.30071131e-01  1.52280000e-03  9.44910697e-01 
 1.53280000e-03  9.30224469e-01  1.53280000e-03  9.45047759e-01 
 1.54280000e-03  9.30377383e-01  1.54280000e-03  9.45184438e-01 
 1.55280000e-03  9.30529859e-01  1.55280000e-03  9.45320734e-01 
 1.56280000e-03  9.30681866e-01  1.56280000e-03  9.45456648e-01 
 1.57280000e-03  9.30833418e-01  1.57280000e-03  9.45592178e-01 
 1.58280000e-03  9.30984538e-01  1.58280000e-03  9.45727326e-01 
 1.59280000e-03  9.31135222e-01  1.59280000e-03  9.45862089e-01 
 1.60280000e-03  9.31285450e-01  1.60280000e-03  9.45996469e-01 
 1.61280000e-03  9.31435233e-01  1.61280000e-03  9.46130465e-01 
 1.62280000e-03  9.31584563e-01  1.62280000e-03  9.46264076e-01 
 1.63280000e-03  9.31733447e-01  1.63280000e-03  9.46397304e-01 
 1.64280000e-03  9.31881884e-01  1.64280000e-03  9.46530146e-01 
 1.65280000e-03  9.32029886e-01  1.65280000e-03  9.46662604e-01 
 1.66280000e-03  9.32177435e-01  1.66280000e-03  9.46794677e-01 
 1.67280000e-03  9.32324539e-01  1.67280000e-03  9.46926365e-01 
 1.68280000e-03  9.32471230e-01  1.68280000e-03  9.47057668e-01 
 1.69280000e-03  9.32617489e-01  1.69280000e-03  9.47188585e-01 
 1.70280000e-03  9.32763312e-01  1.70280000e-03  9.47319116e-01 
 1.71280000e-03  9.32908666e-01  1.71280000e-03  9.47449261e-01 
 1.72280000e-03  9.33053561e-01  1.72280000e-03  9.47579021e-01 
